第一\n大吉,七寶浮圖塔\n高峰頂上安\n眾人皆仰望\n莫作等閒看
第二\n小吉,月被浮雲翳\n立事自昏迷\n幸乞隂公祐\n何慮不開眉
第三\n凶,愁惱損忠良\n青宵一炷香\n雖然防小過\n閒慮覺時長
第四\n吉,累有興雲志\n君恩祿未封\n若逢侯手印\n好事始總總
第五\n凶,家道未能昌\n危危保禍殃\n暗雲侵月桂\n佳人一炷香
第六\n末吉,宅墓鬼兇多\n人事有爻訛\n傷財防損失\n祈福始中和
第七\n凶,登舟待便風\n月色暗矇矓\n遇碾香輪去\n高山千萬重
第八\n大吉,勿頭中見尾\n文華須得理\n禾刀自偶然\n當遇非常喜
第九\n大吉,有名須得遇\n三望一朝遷\n貴人來指處\n華菓應時鮮
第十\n大吉,舊用多成破\n新更始見財\n改求雲外望\n枯木遇春開
第十一\n大吉,有祿興家業\n文華達帝都\n雲中乘好箭\n兼得貴人扶
第十二\n大吉,楊柳遇春時\n殘花發舊枝\n重重霜雪裡\n黃金色更輝
第十三\n大吉,手把大陽輝\n東君發舊枝\n稼苗方欲秀\n猶更上雲梯
第十四\n末吉,玉石未分時\n憂心轉更悲\n前途通大道\n花發應殘枝
第十五\n凶,年乖數亦孤\n久病未能蘇\n岸危舟未發\n龍臥失明珠
第十六\n吉,破改重成望\n前途喜亦寧\n貴人相助處\n祿馬照前程
第十七\n凶,怪異防憂惱\n人宅見分離\n惜華還值雨\n杯酒惹閒非
第十八\n吉,離暗出明時\n麻衣變綠衣\n舊憂終是退\n遇祿應交輝
第十九\n小吉,家道生荊棘\n兒孫防虎威\n香前祈福厚\n方得免分離
第二十\n吉,月出漸分明\n家財每每興\n何言先有滯\n更變立功名
第二十一\n吉,洗出經年否\n光華得再清\n所求終吉利\n重日照前程
第二十二\n吉,漸漸濃雲散\n看看月再明\n逢春華菓秀\n雨過竹重青
第二十三\n吉,紅雲隨步起\n一箭中青霄\n鹿行千里遠\n爭知去路遙
第二十四\n凶,三女莫相逢\n盟言說未通\n門裡心肝掛\n縞素子重重
第二十五\n吉,枯木逢春生\n前途必利亨\n亦得佳人箭\n乘車祿自行
第二十六\n吉,將軍有異聲\n進兵萬里程\n爭知臨敵處\n道勝却虛名
第二十七\n吉,望祿應重山\n花紅喜悅顏\n舉頭看皎月\n漸出黑雲間
第二十八\n凶,意速無船渡\n波深必誤身\n切須回舊路\n方可免災迍
第二十九\n吉,憂轗漸消融\n求名得再通\n寶財臨祿位\n當遇主人公
第三十\n半吉,仙鶴立高枝\n防他暗箭虧\n井畔剛刀利\n戶內更防危
第三十一\n末吉,鯤鯨未變時\n且守碧潭溪\n風雲興巨浪\n一息過天涯
第三十二\n吉,似玉藏深石\n休將故眼看\n一朝良匠別\n方見寶光寒
第三十三\n吉,枯木逢春艷\n芳菲再發林\n雲間方見月\n前遇貴人欽
第三十四\n吉,臘木春將至\n芳菲喜再新\n鯤鯨興巨浪\n舉鉤祿為真
第三十五\n吉,射鹿須乘箭\n故僧引路歸\n遇道同仙籍\n光華映晚暉
第三十六\n末吉,先損後有益\n如月之剝蝕\n玉兔待重生\n光華當滿室
第三十七\n半吉,隂靉未能通\n求名亦未逢\n幸然須有變\n一箭中雙鴻
第三十八\n半吉,月照天書靜\n雲生霧彩霞\n久想離庭客\n無事惹咨嗟
第三十九\n凶,望用方心腹\n家鄉被火災\n憂危三五度\n由損斷頭財
第四十\n末小吉,中正方成道\n姦邪恐惹愆\n壺中盛妙藥\n非久去煩煎
第四十一\n末吉,有物不周旋\n須防損半邊\n家鄉煙火裡\n祈福始安然
第四十二\n吉,桂華春將到\n雲天好進程\n貴人相遇處\n暗月再分明
第四十三\n吉,月桂將相滿\n追鹿映山溪\n貴人乘遠箭\n好事始相宜
第四十四\n吉,盤中黑白子\n一著要先機\n天龍降甘澤\n洗出舊根基
第四十五\n吉,有意興高顯\n祿馬引前程\n得遇雲中箭\n芝蘭滿路生
第四十六\n凶,雷發震天昏\n佳人獨掩門\n交加文書上\n無事也遭迍
第四十七\n吉,更望身前立\n何期在晚成\n若遇重山去\n財祿自相迎
第四十八\n小吉,見祿隔前溪\n勞心休更迷\n一朝逢好渡\n鸞鳳入雲飛
第四十九\n吉,正好中秋月\n蟾蜍皎潔間\n暗雲知何處\n故故兩相攀
第五十\n吉,有達宜更變\n重山利政逢\n前途相偶合\n財祿保亨通
第五十一\n吉,修進甚功辛\n勞生未得時\n騰身遊碧漢\n方得遇高枝
第五十二\n凶,有僭須惹訟\n兼有事交加\n門裡防人危\n災臨莫嘆嗟
第五十三\n吉,久困漸能安\n雲書降印權\n殘花終結實\n時亨祿自遷
第五十四\n凶,身同意不同\n月蝕暗長空\n輪雖常在手\n魚水未相逢
第五十五\n吉,雲散月重明\n天書得誌誠\n雖然多阻滯\n花發再重榮
第五十六\n末小吉,生涯喜又憂\n未老先白頭\n勞心千百度\n方遇貴人留
第五十七\n吉,欲渡長江闊\n波深未自儔\n前津逢浪靜\n重整鉤鰲鉤
第五十八\n凶,有徑江海隔\n車行峻嶺危\n亦防多進退\n猶恐小人虧
第五十九\n凶,去住心無定\n行藏亦未寧\n一輪清皎潔\n却被黑雲乘
第六十\n小吉,高危安可涉\n平坦是延年\n守道當逢泰\n風雲不偶然
第六十一\n半吉,舊愆何日解\n戶內保嬋娟\n要逢十一口\n遇鼠過牛邊
第六十二\n大吉,災轗時時退\n名顯四方揚\n改故重乘祿\n昴高福自昌
第六十三\n凶,何故生荊棘\n佳人意漸疏\n久困重輪下\n黃金未出渠
第六十四\n凶,安居且慮危\n情深主別離\n風飄波浪急\n鴛鴦各自飛
第六十五\n末吉,苦病兼防辱\n乘危亦未穌\n若見一陽後\n方可作良圖
第六十六\n凶,水滯少波濤\n飛鴻落羽毛\n重憂心緒亂\n閒事惹風騷
第六十七\n凶,枯木未生枝\n獨步上雲岐\n豈知身未穩\n獨自惹閒非
第六十八\n吉,異夢生英傑\n前來事可疑\n芳菲春日暖\n依舊發殘枝
第六十九\n凶,明月暗雲浮\n花紅一半枯\n惹事傷心處\n行舟莫遠圖
第七十\n凶,雷發庭前草\n炎火向天飛\n一心來趕祿\n爭奈掩朱扉
第七十一\n凶,道業未成時\n何期兩不宜\n事煩心緒亂\n飜做徘徊思
第七十二\n吉,戶內防重厄\n花菓見分枝\n嚴霜纔過後\n方可始相宜
第七十三\n吉,久暗漸分明\n登江綠水澄\n芝書從遠降\n終得異人成
第七十四\n凶,蛇虎正交羅\n牛生二尾多\n交歲方成慶\n上下不能和
第七十五\n凶,孤舟欲過岸\n浪急渡人空\n女人立流水\n望月意情濃
第七十六\n吉,富貴天之祐\n何須苦用心\n前程應顯跡\n久用得高臨
第七十七\n凶,累滯未能穌\n求名莫遠圖\n登舟波浪急\n咫尺隔天衢
第七十八\n大吉,但存公道正\n何愁理去忠\n松柏蒼蒼翠\n前山祿馬重
第七十九\n吉,殘月未還光\n樽前非語傷\n戶中有人厄\n祈福保青陽
第八十\n大吉,深山多養道\n忠正帝王宣\n鳳遂鸞飛去\n昇高過九天
第八十一\n小吉,道合須成合\n先憂事更多\n所求財寶盛\n更變得中和
第八十二\n凶,火發應連天\n新愁惹舊愆\n欲求千里外\n要渡更無船
第八十三\n凶,舉步出雲端\n高枝未可攀\n昇頭看皎月\n猶在黑雲間
第八十四\n凶,否極方無泰\n花開值晚秋\n人情不調備\n財寶鬼來偷
第八十五\n大吉,望用何愁晚\n求名漸得寧\n雲梯終有望\n歸路入蓬瀛
第八十六\n大吉,花發應陽臺\n車行進寶財\n執文朝帝殿\n走馬聽聲雷
第八十七\n大吉,鑿石方逢玉\n淘沙始見金\n青霄終有路\n只恐不堅心
第八十八\n凶,作事不和同\n臨危更主凶\n佳人生苦根\n閒慮兩三重
第八十九\n大吉,一片無瑕玉\n從今好琢磨\n得遇高人識\n方逢喜氣多
第九十\n大吉,一信向天飛\n秦川舟自歸\n前途成好事\n應得貴人推
第九十一\n吉,改變前途去\n月桂又逢圓\n雲中乘祿至\n凡事可宜先
第九十二\n吉,自幼常為旅\n逢春駿馬驕\n前程宜進步\n得箭降青霄
第九十三\n吉,有魚臨旱池\n跳躍入波濤\n隔中須有望\n先且慮塵勞
第九十四\n半吉,事忌樽前語\n人防小輩交\n幸乞隂公祐\n方免事敵爻
第九十五\n吉,志氣勤修業\n祿位未造逢\n若聞金雞語\n乘船得便風
第九十六\n大吉,雞逐鳳同飛\n高林整羽儀\n棹舟須濟岸\n寶貨滿船歸
第九十七\n凶,霧罩重樓屋\n佳人水上行\n白雲歸去路\n不見月波澄
第九十八\n凶,欲理新絲亂\n閒愁足是非\n只困羅網裡\n相見幾人悲
第九十九\n大吉,紅日當門照\n暗月再重圓\n遇珍須得寶\n頗有稱心田
第一百\n凶,祿走白雲間\n攜琴走遠山\n不遇神仙面\n空惹意闌珊
